cashflows
0
152018384.4
141419150.2
143391463.9
145850631
148398012.4
150519862.1
153092057.9
154947024.6
156744051.2
158247860.1
159744129.6
160467084.1
160900753.8
161188192.4
160867823.7
160476054.1
159159183.5
157595210.7
155841733.6
153669216
151101425.8
148210388.5
145203863
141819287.7
138445513.7
135001296.3
131475821.1
127899254
124286732.9
120643868.8
117017467
113230687
109444032.5
105663803.3
101903169.5
98151644.48
94415263.35
90702230.55
87026067.83
83401407.46
79846418.3
76377080.23
73016826.59
69784431.74
66699861.65
63781073.61
61043248.79
58498623.09
56156588.18
54022437.01
52097162.95
50371297
48850155.83
47524538.82
46383338.94
45412984.95
44598459.05
43923443.71
43370961.08
42923172.14
42563124.58
42275938.1
42047193.64
41863358.99
41712155.73
